Name,Born,Died,House(s),Affiliation(s),Title(s),Culture,Father,Mother,Sibling(s),Series,Season(s),Appeared in,First seen in,Last seen in,Died in,Portrayed by,Spouse(s),Religion,Issue,Also known as,Personal arms,Species,Affiliation,Lover(s),Family,Dead
Lysa Arryn,"Lysa Tully Riverrun , the Riverlands","301 AC The Eyrie , the Vale of Arryn",Tully Arryn (by marriage) Baelish (by marriage),['Unknown'],,Rivermen,{ Hoster Tully },{ Minisa Whent },,Game of Thrones,1 · 4,5 episodes ( see below ),""" The Wolf and the Lion """,""" Mockingbird ""","""Mockingbird""",Kate Dickie,{ Jon Arryn } (1st husband) { Petyr Baelish } (2nd husband),Faith of the Seven,Robin Arryn,,,,,,,1
Robin Arryn,"289 AC (age 16) Red Keep , King's Landing",,Arryn,['Royce'],Lord of the Eyrie Defender of the Vale Warden of the East,Valemen,{ Jon Arryn },{ Lysa Tully },,Game of Thrones,1 · 4 · 5 · 6 · 8,9 episodes ( see below ),""" The Wolf and the Lion """,""" The Iron Throne """,,Lino Facioli,,,,Sweetrobin,,,,,,0
Arthur,,,,"['Varys', 'Qyburn']",,,,,,Game of Thrones,6,2 episodes ( see below ),""" Oathbreaker """,""" The Winds of Winter """,,Nathanael Saleh,,,,,,,,,,0
Ash,,,,['Great Masters'],,,,,,Game of Thrones,6,""" Book of the Stranger """,,,,Yousef Sweid,,,,,,,,,,0
Aya,,,,['Unknown'],,,,,,Game of Thrones,5,""" The Dance of Dragons """,,,,Aifric O'Donnell,,,,,,,,,,0
Petyr Baelish,"The Fingers , the Vale of Arryn","304 AC Winterfell , the North",Baelish,"['Tully', 'Arryn', 'Baratheon', 'Stark']",Master of Coin (formerly) Lord of Harrenhal Lord Protector of the Vale,Valemen,{ Lord Baelish },,,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7,41 episodes ( see below ),""" Lord Snow """,""" The Dragon and the Wolf ""","""The Dragon and the Wolf""",Aidan Gillen,{ Lysa Arryn },,,Littlefinger,"Yellow, a black mockingbird",,,,,1
Balerion,Before 114 BC Valyria,,,['Unknown'],,,,,,Game of Thrones House of the Dragon,Game of Thrones : 7 · 8 House of the Dragon : 1,7 episodes ( see below ),""" Stormborn "" (corpse)",,,,,,,The Black Dread Balerion the Dread,,Dragon,{ Daenys the Dreamer } { Aegon the Conqueror } { Maegor the Cruel } { Viserys the Peaceful },,,0
Balian,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,,,,,,,,,,,0
Bannen,"White Harbor , the North","300 AC Craster's Keep , beyond the Wall",,"[""Night's Watch""]",,Northern,,,,Game of Thrones,3,""" And Now His Watch Is Ended "" (corpse)",,,,,,,,,,,,,,1
Baratheon general,,,,['Baratheon'],,,,,,Game of Thrones,5,2 episodes ( see below ),""" The Dance of Dragons """,""" Mother's Mercy ""","""Mother's Mercy""",Nigel O'Neill,,,,,,,,,,0
Baratheon soldier (Mother%27s Mercy),285 AC,"302 AC (aged 17) Near Winterfell , the North",,['Baratheon'],,,,,,Game of Thrones,5,""" Mother's Mercy """,,,"""Mother's Mercy""",David Fennelly,,,,,,,,,,1
Baratheon soldier (The Dance of Dragons),,,,['Baratheon'],,,,,,Game of Thrones,5,2 episodes ( see below ),""" The Dance of Dragons """,""" Mother's Mercy """,,Jason McLaughlin,,,,,,,,,,0
Edric Baratheon,"Dragonstone , the Crownlands","Dragonstone, the Crownlands",Baratheon of Dragonstone,['Unknown'],,,{ Stannis Baratheon },{ Selyse Florent },,Game of Thrones,3,""" Kissed by Fire "" (corpse)",,,,,,,,,,,,,,1
Gendry Baratheon,"Gendry Flea Bottom , King's Landing",,Baratheon ( legitimized ),"['Tobho Mott', 'Targaryen']",Lord of Storm's End Lord Paramount of the Stormlands Warden of the South,Crownlander,{ Robert I Baratheon },,,Game of Thrones,1 · 2 · 3 · 7 · 8,24 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" The Iron Throne """,,Joe Dempsie,,,,,,,,Arya Stark,,0
Joffrey Baratheon,"282 AC Red Keep , King's Landing","301 AC (aged 19) Red Keep, King's Landing",Baratheon of King's Landing Lannister,['Unknown'],King of the Andals and the First Men Lord of the Seven Kingdoms Protector of the Realm Lord of Storm's End Lord Paramount of the Stormlands,Crownlander,{ Jaime Lannister } (biological) { Robert I Baratheon } (legal),{ Cersei Lannister },,Game of Thrones,1 · 2 · 3 · 4,26 episodes ( see below ),""" Winter Is Coming """,""" Breaker of Chains "" (corpse)",""" The Lion and the Rose """,Jack Gleeson,{ Margaery Tyrell } (unconsummated),Faith of the Seven,,Joff,"Per pale gold and red, a black crowned stag and a gold lion combatant",,,,,1
Myrcella Baratheon,"288 AC Red Keep , King's Landing","302 AC (aged 14) Narrow Sea , near Dorne",Baratheon of King's Landing,['Martell'],Princess,Crownlander,{ Jaime Lannister } (biological) { Robert I Baratheon } (legal),{ Cersei I Lannister },,Game of Thrones,1 · 2 · 5 · 6,15 episodes ( see below ),""" Winter Is Coming """,""" Home "" (corpse)",""" Mother's Mercy """,Aimee Richardson (Seasons 1-2) Nell Tiger Free (Seasons 5-6),,,,,,,,,,1
Petyr Baratheon,"Dragonstone , the Crownlands","Dragonstone, the Crownlands",Baratheon of Dragonstone,['Unknown'],,,{ Stannis Baratheon },{ Selyse Florent },,Game of Thrones,3,""" Kissed by Fire "" (corpse)",,,,,,,,,,,,,,1
Renly Baratheon,"Storm's End , the Stormlands","299 AC Near Storm's End, the Stormlands",Baratheon,"['Baratheon', 'Small Council']",Lord of Storm's End Lord Paramount of the Stormlands Master of Laws (formerly) King of the Andals and the First Men (claimant) Lord of the Seven Kingdoms (claimant) Protector of the Realm (claimant),Stormlander,{ Steffon Baratheon },{ Cassana Estermont },,Game of Thrones,1 · 2,8 episodes ( see below ),""" Lord Snow """,""" The Ghost of Harrenhal ""","""The Ghost of Harrenhal""",Gethin Anthony,{ Margaery Tyrell } (unconsummated),,,King Renly I (self-styled) The King in Highgarden,"Green, a crowned gold stag's head contourny",,,{ Loras Tyrell },,1
Robert Baratheon,"252 AC Storm's End , the Stormlands","298 AC (aged 46) Red Keep , King's Landing",Baratheon Baratheon of King's Landing,"['Arryn', 'Targaryen']",Lord of Storm's End (formerly) Lord Paramount of the Stormlands (formerly) King of the Andals and the First Men Lord of the Seven Kingdoms Protector of the Realm,Stormlander,{ Steffon Baratheon },{ Cassana Estermont },,Game of Thrones,1,7 episodes ( see below ),""" Winter Is Coming """,""" You Win or You Die ""","""You Win or You Die""",Mark Addy,{ Cersei Lannister },,"Bastards : Gendry Baratheon ( legitimized ) { Barra } 18 others With Cersei: { Son } Legal, fathered by Jaime Lannister : { Joffrey I Baratheon } { Myrcella Baratheon } { Tommen I Baratheon }",The Usurper The Stag King,,,,Numerous,,1
Selyse Baratheon,"Selyse Florent Brightwater Keep , the Reach","302 AC Near Long Lake , the North",Florent Baratheon of Dragonstone (by marriage),['Unknown'],Queen Consort (claimant),Reach,,,Imry Florent { Axell Florent },Game of Thrones,2 · 3 · 4 · 5,11 episodes ( see below ),""" The North Remembers """,""" Mother's Mercy "" (corpse)","""Mother's Mercy""","Sarah MacKeever (Season 2, uncredited) Tara Fitzgerald (Season 3-5)",{ Stannis Baratheon },Lord of Light,{ Petyr Baratheon } (stillborn) { Tommard Baratheon } (stillborn) { Edric Baratheon } (stillborn) { Shireen Baratheon },,,,,,,1
Shireen Baratheon,"Dragonstone , the Crownlands","302 AC Near Long Lake , the North",Baratheon of Dragonstone,['Unknown'],Princess,Crownlander,{ Stannis Baratheon },{ Selyse Florent },,Game of Thrones,3 · 4 · 5,10 episodes ( see below ),""" Kissed by Fire """,""" The Dance of Dragons ""","""The Dance of Dragons""",Kerry Ingram,,Faith of the Seven,,,,,,,,1
Stannis Baratheon,"Storm's End , the Stormlands","302 AC Wolfswood near Winterfell , the North",Baratheon Baratheon of Dragonstone,"['Baratheon', 'Small Council']",Ser Master of Ships (formerly) Lord of Dragonstone King of the Andals and the First Men (claimant) Lord of the Seven Kingdoms (claimant) Protector of the Realm (claimant) Lord of Storm's End Lord Paramount of the Stormlands,Stormlander,{ Steffon Baratheon },{ Cassana Estermont },,Game of Thrones,2 · 3 · 4 · 5,24 episodes ( see below ),""" The North Remembers """,""" Mother's Mercy ""","""Mother's Mercy""",Stephen Dillane,{ Selyse Florent },Lord of Light,{ Petyr Baratheon } (stillborn) { Tommard Baratheon } (stillborn) { Edric Baratheon } (stillborn) { Shireen Baratheon },King Stannis I (self-styled) The King in the Narrow Sea Warrior of Light The Lord's Chosen Son of Fire The Prince That Was Promised,A crowned black stag's head contourny within a fiery red heart,,,{ Melisandre },,1
Tommard Baratheon,"Dragonstone , the Crownlands","Dragonstone, the Crownlands",Baratheon of Dragonstone,['Unknown'],,,{ Stannis Baratheon },{ Selyse Florent },,Game of Thrones,3,""" Kissed by Fire "" (corpse)",,,,,,,,,,,,,,1
Tommen Baratheon,289 AC,"Festival of the Mother , 303 AC (aged 14) Red Keep , King's Landing",Baratheon of King's Landing,['Unknown'],King of the Andals and the First Men Lord of the Seven Kingdoms Lord of Storm's End Lord Paramount of the Stormlands,Crownlander,{ Jaime Lannister } (biological) { Robert I Baratheon } (legal),{ Cersei Lannister },,Game of Thrones,1 · 2 · 4 · 5 · 6,24 episodes ( see below ),""" Winter Is Coming """,""" The Winds of Winter ""","""The Winds of Winter""",Callum Wharry (Seasons 1-2) Dean-Charles Chapman (Seasons 4-6),{ Margaery Tyrell },Faith of the Seven,,,,,,,,1
Barra,"Littlefinger's brothel , King's Landing","299 AC Littlefinger's brothel, King's Landing",,['Unknown'],,Crownlander,{ Robert I Baratheon },Mhaegen,,Game of Thrones,1 · 2,2 episodes ( see below ),""" The Wolf and the Lion """,""" The North Remembers ""","""The North Remembers""",,,,,,,,,,,1
Bastard%27s girls,,,,['Unknown'],,,,,,Game of Thrones,4 · 5 · 6,6 episodes ( see below ),""" The Lion and the Rose """,""" Battle of the Bastards """,,,,,,,,Dogs,{ Ramsay Bolton } (formerly),,,0
Bernadette,,,,['Lannister'],,,,,,Game of Thrones,2 · 3 · 4 · 6 · 7,6 episodes ( see below ),""" A Man Without Honor """,""" The Queen's Justice """,,Sara Dylan,,,,,,,,,,0
Bianca,,,,['Izembaro'],,Braavosi,,,,Game of Thrones,6,2 episodes ( see below ),""" The Door """,""" Blood of My Blood """,,Eline Powell,,,,,,,,,,0
Billy,,"299 AC Near Winterfell , the North",,['Stark'],,Northern,{ Winterfell shepherd } (adoptive),,,Game of Thrones,2,""" A Man Without Honor """,,,"""A Man Without Honor""",,,,,,,,,,,1
Biter,,301 AC Near the Mountains of the Moon,,"[""Night's Watch"", 'Lannister']",,,,,,Game of Thrones,1 · 2 · 4,5 episodes ( see below ),""" Fire and Blood """,""" Mockingbird ""","""Mockingbird""",Unidentified (Season 1) Gerard Jordan (Seasons 2-4),,,,,,,,,,1
Black Lorren,"The Iron Islands , the Seven Kingdoms","299 AC Winterfell , the North",,['Greyjoy'],,Ironborn,,,,Game of Thrones,2,4 episodes ( see below ),""" The Ghost of Harrenhal """,""" Valar Morghulis """,,Forbes KB,,Drowned God,,,,,,,,1
Lord Blackmont,,,Blackmont,['Martell'],Lord of Blackmont,Dornish,,,,Game of Thrones,4,""" Two Swords """,,,,Daniel Rabin,,,,,,,,,,0
Blood (horse),,,,['Unknown'],,,,,,Game of Thrones,3 · 4,3 episodes ( see below ),""" Walk of Punishment """,""" The Mountain and the Viper """,,,,,,,,Horse,{ Ramsay Bolton },,,0
Boros Blount,In the Crownlands,305 AC in King's Landing Killed by Sandor Clegane or crushed by debris during the Battle of King's Landing,Blount,"['Baratheon', 'Kingsguard', 'Queensguard']",Ser,Andal,,,,Game of Thrones,1 · 2 · 3 · 5 · 8,6 episodes ( see below ),""" You Win or You Die """,""" The Bells ""","""The Bells""",Unidentified,,Faith of the Seven,,The Fat,,,,,,1
Boake,,303 AC in King's Landing Incinerated in a wildfire explosion orchestrated by Cersei Lannister,,['Faith Militant'],,,,,,Game of Thrones,5 · 6,5 episodes ( see below ),""" Sons of the Harpy """,""" The Winds of Winter ""","""The Winds of Winter""",Unidentified,,Faith of the Seven,,,,,,,,1
Boat commander,,,,['Salladhor Saan'],,,,,,Game of Thrones,3,""" Valar Dohaeris """,,,,Michael Power,,,,,,,,,,0
Bobono,,,,['Izembaro'],,Braavosi,,,,Game of Thrones,6,3 episodes ( see below ),""" The Door """,""" No One """,,Leigh Gill,,,,,,,,,,0
Bolton officer,,303 AC in the Wolfswood Slain with Oathkeeper by Brienne of Tarth,,['Bolton'],,Northern,,,,Game of Thrones,6,""" The Red Woman """,,,"""The Red Woman""",Andrew Bryan,,,,,,,,,,1
Roose Bolton%27s son,"303 AC Winterfell , the North","303 AC (aged 0) Winterfell, the North",Bolton,['Unknown'],,Northern,{ Roose Bolton },{ Walda Frey },{ Ramsay Bolton } (paternal half-brother),Game of Thrones,6,""" Home """,,,"""Home""",Unidentified,,,,,,,,,,1
Ramsay Bolton,"Ramsay Snow Near the Dreadfort , the North","303 AC Winterfell , the North",Bolton ( legitimized ),['Unknown'],Lord of the Dreadfort Lord of Winterfell Warden of the North,Northern,{ Roose Bolton },Miller's wife,,Game of Thrones,3 · 4 · 5 · 6,20 episodes ( see below ),""" Dark Wings, Dark Words """,""" Battle of the Bastards ""","""Battle of the Bastards""",Iwan Rheon,Sansa Stark,Old Gods,,,,,,{ Myranda } { Violet } { Tansy } { Kyra },,1
Roose Bolton,"Dreadfort , the North","303 AC Winterfell , the North",Bolton,"['Stark', 'Baratheon']",Lord of the Dreadfort Warden of the North Lord of Winterfell,Northern,,,,Game of Thrones,2 · 3 · 4 · 5 · 6,20 episodes ( see below ),""" Garden of Bones """,""" Blood of My Blood "" (vision(s))",""" Home """,Michael McElhatton,{ Walda Frey },,{ Ramsay Bolton } ( legitimized bastard ) { Son } (by Walda),,,,,,,1
Walda Bolton,"Walda Frey The Twins , the Riverlands","303 AC Winterfell , the North",Frey Bolton (by marriage),['Unknown'],,Rivermen,,,,Game of Thrones,4 · 5 · 6,5 episodes ( see below ),""" The Lion and the Rose """,""" Home ""","""Home""",Elizabeth Webster,{ Roose Bolton },Faith of the Seven,{ Son },,,,,,,1
Borba,,299 AC on the Skirling Pass Killed by wildlings,,"[""Night's Watch""]",,,,,,Game of Thrones,2,2 episodes ( see below ),""" The Ghost of Harrenhal """,""" The Old Gods and the New """,,Marcus Shakesheff,,,,,,,,,,1
Borkoy,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Unidentified,,,,,,,,,,0
Braavosi madam,,,,['Unknown'],,Braavosi,,,,Game of Thrones,5,""" The Dance of Dragons """,,,,Lacy Moore,,,,,,,,,,0
Jonos Bracken,At Stone Hedge,,Bracken,['Tully'],,Rivermen,,,,Game of Thrones,1,""" Fire and Blood """,,,,Gerry O'Brien,,Faith of the Seven,,,,,,,,0
Brant,,,,"[""Night's Watch""]",,,,,,Game of Thrones,5,""" The Gift """,,,,Jonathan Byrne,,,,,,,,,,0
Brea,,,,['Unknown'],,Braavosi,,,,Game of Thrones,5,""" The Dance of Dragons """,,,,Gemita Samarra,,,,,,,,,,0
Bronn,,,Unknown,"['Catelyn Stark', 'Lannister', 'City Watch', 'Small Council']",Commander of the City Watch of King's Landing (formerly) Ser Lord of Highgarden Lord Paramount of the Reach Master of Coin,Westerosi,,,Younger brother,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,36 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" The Iron Throne """,,Jerome Flynn,,,,Ser Bronn of the Blackwater Cooper,A flaming arrow bendwise,,,,,0
Brothel guard,,,,['Unknown'],,Volantene,,,,Game of Thrones,5,""" High Sparrow """,,,,Mishael Lopes Cardozo,,,,,,,,,,0
Brozho,,303 AC in Vaes Dothrak Burned alive by Daenerys Targaryen,,['Unknown'],Khal,Dothraki,,,,Game of Thrones,6,""" Book of the Stranger """,,,"""Book of the Stranger""",Elie Haddad,,Great Stallion,,,,,,,,1
Lothor Brune,At Crackclaw Point,,Brune,['Baelish'],,Andal,,,,Game of Thrones,2,""" The North Remembers """,,,,Unidentified,,Faith of the Seven,,,,,,,,0
Brusco,,,,['Unknown'],,Braavosi,,,,Game of Thrones,5,""" The Dance of Dragons """,,,,Garry Mountaine,,,,,,,,,,0
Jack Bulwer,At Blackcrown,301 AC in Mole's Town Killed by wildlings during the Sack of Mole's Town,Bulwer,"[""Night's Watch""]",,Andal,,,,Game of Thrones,4,""" The Mountain and the Viper """,,,"""The Mountain and the Viper""",Cormac McDonagh,,Faith of the Seven,,Black Jack,,,,,,1
Caleotte,,"303 AC The Water Gardens , Dorne",,"['Order of Maesters', 'Martell']",Maester,,,,,Game of Thrones,6,""" The Red Woman """,,,"""The Red Woman""",Colin Azzopardi,,,,,,,,,,1
Camello,,,,['Izembaro'],,Braavosi,,,,Game of Thrones,6,2 episodes ( see below ),""" The Door """,""" Blood of My Blood """,,Kevin Eldon,,,,,,,,,,0
Captain%27s daughter,,,,['Unknown'],,,,,,Game of Thrones,2,""" The Night Lands """,,,,Amy Dawson,,,,,,,,,,0
Captured wight,Beyond the Wall,Prior to 304 AC beyond the Wall Killed and raised as a wight 304 AC in King's Landing Stabbed with a dragonglass dagger by Jon Snow,,['White Walkers'],,Free Folk,,,,Game of Thrones,7,2 episodes ( see below ),""" Beyond the Wall """,""" The Dragon and the Wolf ""","""The Dragon and the Wolf""",Michael Byrch,,Old Gods,,,,,,,,1
Jory Cassel,"Winterfell , the North","298 AC King's Landing , the Crownlands",Cassel,['Stark'],Captain of the guard,Northern,,,,Game of Thrones,1,5 episodes ( see below ),""" Winter Is Coming """,""" The Wolf and the Lion ""","""The Wolf and the Lion""",Jamie Sives,,,,,,,,,,1
Rodrik Cassel,"Winterfell , the North","299 AC Winterfell, the North",Cassel,['Stark'],Ser Master-at-arms at Winterfell Castellan of Winterfell,Northern,,,,Game of Thrones,1 · 2 · 6,15 episodes ( see below ),""" Winter Is Coming """,""" The Door "" (vision(s))",""" The Old Gods and the New """,Ron Donachie Fergus Leathem (young),,,,,,,,,,1
Catspaw,,298 AC Winterfell,,['Unknown'],,,,,,Game of Thrones,1,""" The Kingsroad """,,,"""The Kingsroad""",Lalor Roddy,,,,,,,,,,1
Cley Cerwyn,At Castle Cerwyn,,Cerwyn,"['Bolton', 'Stark']",,Northern,{ Medger Cerwyn },,,Game of Thrones,6,""" The Winds of Winter """,,,,Tom Varey,,Old Gods,,,,,,,,0
Medger Cerwyn,At Castle Cerwyn,302 AC at Castle Cerwyn,Cerwyn,['Stark'],,Northern,,,{Brother},Game of Thrones,5,""" High Sparrow "" (corpse)",,,,,{Wife},Old Gods,,,,,,,,1
Chella,,,,['Black Ears'],Leader of the Black Ears,Hill tribes,Cheyk,,,Game of Thrones,1 · 2,3 episodes ( see below ),""" The Pointy End """,""" The North Remembers """,,Natalia Lee,,,,,,,,,,0
Citadel maester,,,,['Order of Maesters'],Maester,,,,,Game of Thrones,6,""" The Winds of Winter """,,,,Frank Hvam,,,,,,,,,,0
Clarenzo,,,,['Izembaro'],,Braavosi,,,,Game of Thrones,6,3 episodes ( see below ),""" The Door """,""" No One """,,Rob Callender,,,,,,,,,,0
Clea,,,,['Unknown'],,Volantene,,,,Game of Thrones,5,""" High Sparrow """,,,,Gwyneth Keyworth,,,,,,,,,,0
Gregor Clegane,,"305 AC Red Keep , King's Landing",Clegane,"['Lannister', 'Kingsguard', 'Queensguard']",Ser Castellan of Harrenhal (formerly),Westermen,{ Father },,,Game of Thrones,1 · 2 · 4 · 5 · 6 · 7 · 8,24 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" The Bells ""","""The Bells""",Conan Stevens (Season 1) Ian Whyte (Season 2) Hafþór Júlíus Björnsson (Seasons 4-8),,,,The Mountain Tywin Lannister's Mad Dog,"Yellow, a black dog regardant contourny",,,,,1
Sandor Clegane,,"305 AC Red Keep , King's Landing",Clegane,"['Baratheon', 'Kingsguard', 'Faith of the Seven', 'Brotherhood Without Banners']",,Westermen,{ Father },,,Game of Thrones,1 · 2 · 3 · 4 · 6 · 7 · 8,38 episodes ( see below ),""" Winter Is Coming """,""" The Bells ""","""The Bells""",Rory McCann,,,,Dog The Hound,,,,,,1
Clydas,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Unidentified,,,,,,,,,,0
Cohollo,,,,['Drogo'],Bloodrider,Dothraki,,,,Game of Thrones,1,4 episodes ( see below ),""" Winter Is Coming """,""" Baelor """,,Unidentified,,Great Stallion,,,,,,,,0
Colen of Greenpools,At Greenpools,,,['Baratheon'],Ser,Andal,,,,Game of Thrones,2,""" What Is Dead May Never Die """,,,,Darren Killeen,,Faith of the Seven,,,,,,,,0
Cooper,,"301 AC Castle Black , the Wall",,"[""Night's Watch""]",,,,,,Game of Thrones,4,""" The Watchers on the Wall """,,,"""The Watchers on the Wall""",Joe Claflin,,,,,,,,,,1
Copper King,In Qarth,299 AC in Qarth Throat slit by a duplicate of Pyat Pree,,['Thirteen'],,Qartheen,,,,Game of Thrones,2,2 episodes ( see below ),""" Garden of Bones """,""" A Man Without Honor ""","""A Man Without Honor""",Unidentified,,,,,,,,,,1
Vance Corbray,At Heart's Home,,Corbray,['Unknown'],Ser,Valemen,,,,Game of Thrones,4,""" The Mountain and the Viper """,,,,Richard Doubleday,,Faith of the Seven,,,,,,,,0
Desmond Crakehall,Crakehall,,Crakehall,['Lannister'],Lord of Crakehall,Westermen,,,,Game of Thrones,3,""" Mhysa """,,,,Maro Drobnic,,Faith of the Seven,,,,,,,,0
Lady Crane,,303 AC in Braavos Throat slit by the Waif,,['Izembaro'],,Braavosi,,,,Game of Thrones,6,3 episodes ( see below ),""" The Door """,""" No One ""","""No One""",Essie Davis,,,,,,,,,,1
Craster,Beyond the Wall,"300 AC Craster's Keep , beyond the Wall",,"[""Night's Watch""]",,Free Folk,,,,Game of Thrones,2 · 3,5 episodes ( see below ),""" The North Remembers """,""" And Now His Watch Is Ended ""","""And Now His Watch Is Ended""",Robert Pugh,All of his daughters,White Walkers,,,,,,,,1
Craster%27s last son,301 AC at Craster's Keep,305 AC (aged 4) Destroyed following the Night King 's death at the hands of Arya Stark during the Battle of Winterfell,,['Unknown'],,Free Folk White Walker,{ Craster },,Morag Sissy Gilly Sam 98 brothers and even more sisters,Game of Thrones,4 · 6,2 episodes ( see below ),""" Oathkeeper """,""" Blood of My Blood "" (vision(s))",,Unidentified,,,,,,,,,,1
Craya,,,,['Unknown'],,,,,,Game of Thrones,8,""" Winterfell """,,,,Lucy Aarden,,,,,,,,,,0
Cressen,,"299 AC Dragonstone , Blackwater Bay , the Crownlands",,"['Order of Maesters', 'Baratheon', 'Baratheon']",Maester,Andal,,,,Game of Thrones,2,""" The North Remembers """,,,"""The North Remembers""",Oliver Ford Davies,,Faith of the Seven,,,,,,,,1
Emmon Cuy,At Sunhouse,299 AC near Storm's End Slashed across the chest by Brienne of Tarth,,['Kingsguard'],Ser,Andal,,,,Game of Thrones,2,""" The Ghost of Harrenhal """,,,"""The Ghost of Harrenhal""",Unidentified,,Faith of the Seven,,,,,,,,1
Dagmer,"The Iron Islands , the Seven Kingdoms","299 AC Winterfell , the North",,['Greyjoy'],,Ironborn,,,,Game of Thrones,2,5 episodes ( see below ),""" The Ghost of Harrenhal """,""" Valar Morghulis """,,Ralph Ineson,,Drowned God,,,,,,,,1
Daisy,At Haystack Hall,,,['Petyr Baelish'],,,,,,Game of Thrones,2,3 episodes ( see below ),""" The North Remembers """,""" Garden of Bones """,,Maisie Dee,,,,,,,,,,0
Dim Dalba,Beyond the Wall,,,"['Mance Rayder', 'Jon Snow']",,Free Folk,,,,Game of Thrones,5 · 6,2 episodes ( see below ),""" Hardhome """,""" The Broken Man """,,Murray McArthur,,Old Gods,,,,,,,,0
Deziel Dalt,At Lemonwood,,Dalt,['Martell'],Ser Knight of Lemonwood,Dornish,,,,Game of Thrones,4,""" Two Swords """,,,,Unidentified,,Faith of the Seven,,,,,,,,0
Dancer,,299 AC at Winterfell Most likely killed during the Sack of Winterfell orchestrated by Ramsay Bolton,,['Unknown'],,,,,,Game of Thrones,1,""" A Golden Crown """,,,,,,,,,,Horse,Bran Stark,,,1
Dareon,In the Reach,,,"[""Night's Watch""]",,Andal,,,,Game of Thrones,1,""" You Win or You Die """,,,,Unidentified,,Faith of the Seven,,,,,,,,0
Xaro Xhoan Daxos,In the Summer Isles,299 AC in Qarth Locked inside his vault to die by Daenerys Targaryen,,['Thirteen'],King of Qarth (self-proclaimed; deposed),Summer Islander/Qartheen,,,,Game of Thrones,2,5 episodes ( see below ),""" Garden of Bones """,""" Valar Morghulis ""","""Valar Morghulis""",Nonso Anozie,{Wife},,,,,,,{ Doreah },,1
