Name,Born,Died,House(s),Affiliation(s),Title(s),Culture,Father,Mother,Sibling(s),Series,Season(s),Appeared in,First seen in,Last seen in,Died in,Portrayed by,Spouse(s),Religion,Issue,Also known as,Personal arms,Species,Affiliation,Lover(s),Family,Dead,mapped
Craya,,,,['Unknown'],,,,,,Game of Thrones,8,""" Winterfell """,,,,Lucy Aarden,,,,,,,,,,0,crayah
Cressen,,"299 AC Dragonstone , Blackwater Bay , the Crownlands",,"['Order of Maesters', 'Baratheon', 'Baratheon']",Maester,Andal,,,,Game of Thrones,2,""" The North Remembers """,,,"""The North Remembers""",Oliver Ford Davies,,Faith of the Seven,,,,,,,,1,cressen
Dagmer,"The Iron Islands , the Seven Kingdoms","299 AC Winterfell , the North",,['Greyjoy'],,Ironborn,,,,Game of Thrones,2,5 episodes ( see below ),""" The Ghost of Harrenhal """,""" Valar Morghulis """,,Ralph Ineson,,Drowned God,,,,,,,,1,dagmer
Daisy,At Haystack Hall,,,['Petyr Baelish'],,,,,,Game of Thrones,2,3 episodes ( see below ),""" The North Remembers """,""" Garden of Bones """,,Maisie Dee,,,,,,,,,,0,daisy
Dim Dalba,Beyond the Wall,,,"['Mance Rayder', 'Jon Snow']",,Free Folk,,,,Game of Thrones,5 · 6,2 episodes ( see below ),""" Hardhome """,""" The Broken Man """,,Murray McArthur,,Old Gods,,,,,,,,0,dim dalba
Xaro Xhoan Daxos,In the Summer Isles,299 AC in Qarth Locked inside his vault to die by Daenerys Targaryen,,['Thirteen'],King of Qarth (self-proclaimed; deposed),Summer Islander/Qartheen,,,,Game of Thrones,2,5 episodes ( see below ),""" Garden of Bones """,""" Valar Morghulis ""","""Valar Morghulis""",Nonso Anozie,{Wife},,,,,,,{ Doreah },,1,xaro
Dirah,,,,['Unknown'],,,,,,Game of Thrones,8,""" Winterfell """,,,,Marina Lawrence-Mahrra,,,,,,,,,,0,dirah
Beric Dondarrion,At Blackhaven,1-6: ( see below ) 7: 305 AC at Winterfell,Dondarrion,"['Baratheon', 'Brotherhood Without Banners']",Lord of Blackhaven,Marcher,,,,Game of Thrones,1 · 3 · 6 · 7 · 8,14 episodes ( see below ),""" A Golden Crown """,""" The Last of the Starks "" (corpse)",""" Kissed by Fire "" (resurrected) "" The Long Night """,David Michael Scott (Season 1) Richard Dormer (Seasons 3-8),,Faith of the Seven (raised) Lord of Light (convert),,,,,,,,1,beric dondarrion
Doreah,274 AC in Lys,299 AC (aged 25) in Qarth Locked inside a vault to die by Daenerys Targaryen,,"['Illyrio Mopatis', 'Targaryen', 'Xaro Xhoan Daxos']",,Lysene,,,,Game of Thrones,1 · 2,11 episodes ( see below ),""" The Kingsroad """,""" Valar Morghulis """,,Roxanne McKee,,,,,,,,{ Xaro Xhoan Daxos },,1,doreah
Drogo,,298 AC Lhazar,,['Unknown'],Khal,Dothraki,{ Bharbo },,,Game of Thrones,1 · 2,10 episodes ( see below ),""" Winter Is Coming """,""" Valar Morghulis "" (vision(s))",""" Fire and Blood """,Jason Momoa,{ Daenerys Targaryen },Great Stallion,{ Rhaego } (stillborn),The Great Khal,,,,,,1,drogo
Mirri Maz Duur,"Lhazar , Essos","298 AC The wastelands beyond Lhazar, Essos",,['Unknown'],Godswife,Lhazareen,,,,Game of Thrones,1,3 episodes ( see below ),""" The Pointy End """,""" Fire and Blood ""","""Fire and Blood""",Mia Soteriou,,Great Shepherd,,,,,,,,1,mirri maz duur
Dying man,,301 AC near the Mountains of the Moon Stabbed in heart by Sandor Clegane,,['Unknown'],,Valemen,,,,Game of Thrones,4,""" Mockingbird """,,,"""Mockingbird""",Barry McGovern,,,,,,,,,,1,dying man
Vardis Egen,The Vale of Arryn,"298 AC The Eyrie , the Vale of Arryn",Egen,['Arryn'],Ser Captain of the guard,Valemen,,,,Game of Thrones,1,2 episodes ( see below ),""" The Wolf and the Lion """,""" A Golden Crown ""","""A Golden Crown""",Brendan McCormack,,Faith of the Seven,,,,,,,,1,vardis egen
Elder slave,,,,['Great Masters'],,,,,,Game of Thrones,4,""" Oathkeeper """,,,,Philip Philmar,,,,,,,,,,0,elder meereen slave
Razdal mo Eraz,"Yunkai , Slaver's Bay","303 AC Meereen , Slaver's Bay",Eraz,['Wise Masters'],Master of Men Speaker to Savages,Ghiscari ( Yunkai'i ),,,,Game of Thrones,3 · 6,3 episodes ( see below ),""" The Bear and the Maiden Fair """,""" Battle of the Bastards ""","""Battle of the Bastards""",George Georgiou,,Ghiscari religion,,,,,,,,1,razdal
Farlen,At Winterfell,299 AC at Winterfell Killed during the Sack of Winterfell,,['Stark'],Kennelmaster at Winterfell,Northern,,,,Game of Thrones,2,2 episodes ( see below ),""" The Old Gods and the New """,""" A Man Without Honor """,,Peter Ballance,,Old Gods,,,,,,,,1,farlen
Farmer,"The Riverlands , Westeros","301 - 304 AC The Riverlands, Westeros",,['Tully'],,Rivermen,,,Brother,Game of Thrones,4 · 7,2 episodes ( see below ),""" Breaker of Chains """,""" Dragonstone "" (corpse)","""Dragonstone"" (fate confirmed)",Finbar Lynch,{Wife},Faith of the Seven,{ Sally },,,,,,,1,farmer hamlet
Fennesz,,,,['Great Masters'],,Ghiscari ( Meereenese ),,,,Game of Thrones,4,""" The Children """,,,,Trevor Allan Davies,,Ghiscari religion,,,,,,,,0,fennesz
Axell Florent,At Brightwater Keep,"301 AC Dragonstone , Blackwater Bay , the Crownlands",Florent,"['Tyrell', 'Baratheon']",Ser,Andal,,,{ Selyse Baratheon } Imry Florent,Game of Thrones,4,""" The Lion and the Rose """,,,"""The Lion and the Rose""",James McHale,,Faith of the Seven,,,,,,,,1,axell florent
Syrio Forel,In Braavos,298 AC in King's Landing,,"['Sealord of Braavos', 'Stark']",First Sword of Braavos (formerly),Braavosi,,,,Game of Thrones,1,3 episodes ( see below ),""" Lord Snow """,""" The Pointy End """,,Miltos Yerolemou,,Many-Faced God,,,,,,,,1,syrio forel
Frey guard,In the Riverlands,,,['Frey'],,Rivermen,,,,Game of Thrones,3,""" The Rains of Castamere """,,,,A.J. Kennedy,,Faith of the Seven,,,,,,,,0,frey guard
Frey knight,"The Twins , the Riverlands","303 AC The Twins, the Riverlands",Frey,['Unknown'],Ser,Rivermen,,,,Game of Thrones,1,""" Cripples, Bastards, and Broken Things """,,,,Patrick Ryan,,Faith of the Seven,,,,,,,,1,frey man
Frey soldier 1,"The Riverlands , Westeros","300 AC The Riverlands, Westeros",,['Frey'],,Rivermen,,,,Game of Thrones,3,""" Mhysa """,,,"""Mhysa""",Ciaran O'Grady,,Faith of the Seven,,,,,,,,1,frey soldier
Frey soldier 2,"The Riverlands , Westeros","300 AC The Riverlands, Westeros",,['Frey'],,Rivermen,,,,Game of Thrones,3,""" Mhysa """,,,"""Mhysa""",Michael Liebmann,,Faith of the Seven,,,,,,,,1,frey soldier #2
Lothar Frey,"The Twins , the Riverlands","303 AC The Twins, the Riverlands",Frey,['Unknown'],,Rivermen,{ Walder Frey },,{ Stevron Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Shirei Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,3 · 6,6 episodes ( see below ),""" The Climb """,""" The Winds of Winter ""","""The Winds of Winter"" (fate confirmed)",Tom Brooke (Season 3) Daniel Tuite (Season 6),,Faith of the Seven,,Lame Lothar,,,,,,1,lothar
Merry Frey,At the Twins,,Frey,['Unknown'],,Rivermen,,,,Game of Thrones,3 · 6 · 7,3 episodes ( see below ),""" The Rains of Castamere """,""" Dragonstone """,,Grace Hendy,,Faith of the Seven,,,,,,,,0,merry
Sarra Frey,At the Twins,,Frey,['Unknown'],,Rivermen,,,Serra Frey (twin),Game of Thrones,3,""" The Rains of Castamere """,,,,Unidentified,,Faith of the Seven,,,,,,,,0,sarra
Stevron Frey,"The Twins , the Riverlands","303 AC The Twins, the Riverlands",Frey,['Unknown'],Ser,Rivermen,{ Walder Frey },,{ Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Shirei Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,1,""" Baelor """,,,,Colin Carnegie,,Faith of the Seven,,,,,,,,1,stevron frey
Walda Frey (The Rains of Castamere),At the Twins,,Frey,['Unknown'],,Rivermen,{ Walder Frey },,{ Stevron Frey } { Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Derwa Frey Waldra Frey Shirei Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,3,""" The Rains of Castamere """,,,,,,Faith of the Seven,,,,,,,,0,walda
Walder Frey,"208 AC The Twins , the Riverlands","303 AC (aged 95) The Twins, the Riverlands",Frey,"['Tully', 'Baratheon']",Lord of the Crossing Lord of Riverrun Lord Paramount of the Trident,Rivermen,,,,Game of Thrones,1 · 3 · 6 · 7,6 episodes ( see below ),""" Baelor """,""" Dragonstone "" (corpse)",""" The Winds of Winter """,David Bradley,{7 wives} { Joyeuse Erenford } (8th wife) Kitty Frey (9th wife),,Trueborn: { Stevron Frey } { Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Shirei Frey Others Bastards : { Walder Rivers } { Ryger Rivers } Others,The Late Lord Frey,,,,,,1,walder frey
Gared,,298 AC in the Haunted Forest,,"[""Night's Watch""]",,Westerosi,,,,Game of Thrones,1,""" Winter Is Coming """,,,"""Winter Is Coming""",Dermot Keaney Richard Ridings ( pilot ),,,,,,,,,,1,gared
Gatins,,"303 AC The Riverlands , the Seven Kingdoms",,['Brotherhood Without Banners'],,,,,,Game of Thrones,6,2 episodes ( see below ),""" The Broken Man """,""" No One ""","""No One""",Ricky Champ,,Lord of Light,,,,,,,,1,gatins
Prendahl na Ghezn,,"300 AC Yunkai , Slaver's Bay",,['Second Sons'],Captain of the Second Sons,Ghiscari,,,,Game of Thrones,3,""" Second Sons """,,,"""Second Sons""",Ramon Tikaram,,,,,,,,,,1,prendahl
Gilly,At Craster's Keep,,,['Unknown'],,Free Folk,{ Craster },,Morag Sissy Sam { Craster's last son } 101 brothers and even more sisters,Game of Thrones,2 · 3 · 4 · 5 · 6 · 7 · 8,27 episodes ( see below ),""" The North Remembers """,""" The Last of the Starks """,,Hannah Murray,{Craster},,,,,,,Samwell Tarly,,0,gilly
Galbart Glover,At Deepwood Motte,299 - 303 AC Died during the War of the Five Kings,Glover,['Stark'],,Northern,,,Robett Glover,Game of Thrones,1,2 episodes ( see below ),""" The Pointy End """,""" Fire and Blood """,,Mark Coney,,Old Gods,,,,,,,,1,galbart glover
Robett Glover,At Deepwood Motte,,Glover,"['Bolton', 'Stark']",,Northern,,,{ Galbart Glover },Game of Thrones,6 · 7,5 episodes ( see below ),""" The Broken Man """,""" Eastwatch """,,Tim McInnerny,Sybelle Locke,Old Gods,,,,,,,,0,robett glover
Goatherd,,,,['Unknown'],,Ghiscari ( Meereenese ),,,,Game of Thrones,4,""" The Children """,,,,Darren Kent,,Ghiscari religion,,,,,,,,0,goatherd
Gold Cloak (The Night Lands),,,,['City Watch'],,,,,,Game of Thrones,2,2 episodes ( see below ),""" The Night Lands """,""" What Is Dead May Never Die """,,Sam Callis,,,,,,,,,,0,gold cloak
Gold Cloak 1 (Eastwatch),,304 AC in King's Landing Face caved in with a war hammer by Gendry,,['City Watch'],,Andal,,,,Game of Thrones,7,""" Eastwatch """,,,"""Eastwatch""",Laurence Spellman,,,,,,,,,,1,guard 1
Gold Cloak 1 (The Wolf and the Lion),,,,['City Watch'],,,,,,Game of Thrones,1,""" The Wolf and the Lion """,,,,Alan Paris,,,,,,,,,,0,guard 1
Gold Cloak 2 (Eastwatch),,304 AC in King's Landing Face caved in with a war hammer by Gendry,,['City Watch'],,Andal,,,,Game of Thrones,7,""" Eastwatch """,,,"""Eastwatch""",Kevin Eldon,,,,,,,,,,1,guard 2
Gold Cloak 2 (The Wolf and the Lion),,,,['City Watch'],,,,,,Game of Thrones,1,""" The Wolf and the Lion """,,,,Unidentified,,,,,,,,,,0,guard 2
Great Master (Breaker of Chains),In Meereen,301 AC in Meereen Stabbed to death by rebel slaves,,['Great Masters'],Master,Ghiscari ( Meereenese ),,,,Game of Thrones,4,2 episodes ( see below ),""" Breaker of Chains """,""" Oathkeeper ""","""Oathkeeper""",Emilio Doorgasingh,,Ghiscari religion,,,,,,,,1,great master #1
Grenn,,"301 AC Castle Black , the Wall",,"[""Night's Watch""]",,,,,,Game of Thrones,1 · 2 · 3 · 4,22 episodes ( see below ),""" Lord Snow """,""" The Children "" (corpse)",""" The Watchers on the Wall """,Mark Stanley,,,,,,,,Violet,,1,grenn
Grey Worm,Summer Isles,,,"['Unsullied', 'Targaryen']",Master of War (briefly),Summer Islander,,,,Game of Thrones,3 · 4 · 5 · 6 · 7 · 8,34 episodes ( see below ),""" Kissed by Fire """,""" The Iron Throne """,,Jacob Anderson,,,,,,,,{ Missandei },,0,grey worm
Aeron Greyjoy,At Pyke,303 - 305 AC,Greyjoy,['Drowned Men'],,Ironborn,{ Quellon Greyjoy },,{ Balon Greyjoy } { Euron Greyjoy },Game of Thrones,6,2 episodes ( see below ),""" Home """,""" The Door """,,Michael Feast,,Drowned God,,Aeron Damphair,,,,,,1,aeron
